date,AAPL,AMZN,AVGO,BRK-B,GOOG,JPM,LLY,META,MSFT,NVDA,PG,TSLA,UNH,V,XOM
2022-09-16,149.0526374306,123.53,47.7949528009,274.81,103.3745346814,110.0564812025,303.5925359425,145.8523493178,240.6093587691,13.1856827272,130.6352781373,303.35,505.7281236782,190.2383305403,87.160730479
2022-09-19,152.7913167238,124.66,47.7321773405,278.95,103.5939923446,111.0716930209,299.8577059493,147.5771737373,240.3930718567,13.3695110059,130.3613106028,309.07,508.1838684728,190.0710231621,87.1513794726
2022-09-20,155.1848627263,122.19,46.8970734886,277.13,101.5789719831,108.8814675238,296.5553299554,145.6529476508,238.3580086359,13.1637032591,129.8983999412,308.73,507.4558808855,189.0278124515,86.4407029877
2022-09-21,152.0396245908,118.54,46.2483937312,270.74,99.7634585881,105.7418309743,291.3953674649,141.6948245611,234.9170804849,13.2486239313,128.2262532656,300.8,497.050511637,184.0577991601,85.0474030369
2022-09-22,151.0703373666,117.31,45.8138618035,268.51,100.3220780943,104.5386169673,305.5385789389,142.3927303956,236.9128188125,12.549277219,128.6797167709,288.59,502.2726092636,182.8472810713,84.6920647944
2022-09-23,148.7855889096,113.78,44.9572679594,267.77,98.9255293289,102.5927943153,306.1184604378,139.9899403084,233.9044644861,12.5043192161,128.0845459202,275.33,498.5356063152,181.0462663538,80.1848797187
2022-09-26,149.1218722323,115.15,44.3414412539,264.32,98.5664167893,100.3837685994,302.226374445,135.9620266352,233.4423969916,12.2165879973,128.2073589529,276.01,493.4396932038,177.7296436227,78.5297515892
2022-09-27,150.1010501424,114.41,44.5802899294,265.47,97.8481917099,99.500158313,305.7646344385,133.9979202154,232.4199497695,12.4014153427,124.6835696309,282.94,493.4493997049,175.0527255727,80.1755287123
2022-09-28,148.202038438,118.01,44.6963569565,271.78,100.4916590158,101.5117817309,328.6453823964,141.1863503103,237.0012998221,12.7241138971,124.6835696309,287.81,498.8559208536,176.3419765453,83.0930427032
2022-09-29,140.9224935707,114.8,43.1778932887,269.58,97.8481917099,99.7915617053,324.3503279043,136.0019069686,233.491553108,12.2085954634,121.584902345,268.21,493.8958987585,177.2080382674,82.9247245883
2022-09-30,136.6892799795,113.0,42.5908435321,267.02,95.9129741351,98.23114354,317.8045469164,135.2740908841,228.9691903952,12.1276710581,119.2703490369,265.25,490.2171348171,174.8362101422,81.6436367141
