Date,AAPL,AMZN,AVGO,BRK-B,GOOG,GOOGL,JPM,LLY,META,MSFT,NVDA,TSLA,UNH,V,XOM
2019-09-30 00:00:00+00:00,54.180809020996094,86.79550170898438,23.788461685180664,208.02000427246094,60.80068588256836,60.906185150146484,101.0439453125,104.38729858398438,177.54542541503906,132.79444885253906,4.330685138702393,16.058000564575195,201.92010498046875,166.07801818847656,55.19326400756836
2019-10-01 00:00:00+00:00,54.33079528808594,86.78250122070312,23.683340072631836,206.7100067138672,60.10738754272461,60.15105438232422,99.20659637451172,103.57520294189453,175.28225708007812,130.92239379882812,4.328944206237793,16.312667846679688,201.8179473876953,168.2793731689453,53.895694732666016
2019-10-02 00:00:00+00:00,52.96883010864258,85.6614990234375,23.271455764770508,203.10000610351562,58.687374114990234,58.750526428222656,97.23192596435547,99.87873077392578,174.0758819580078,128.6109161376953,4.305060386657715,16.208667755126953,201.3905029296875,163.97320556640625,52.48871612548828
2019-10-03 00:00:00+00:00,53.41878890991211,86.22100067138672,23.647146224975586,204.97999572753906,59.24599838256836,59.32460403442383,97.09347534179688,100.14944458007812,178.84153747558594,130.16781616210938,4.510810852050781,15.535332679748535,200.0989990234375,166.90834045410156,53.13748550415039
2019-10-04 00:00:00+00:00,54.91620635986328,86.98249816894531,24.25032615661621,208.0800018310547,60.30190658569336,60.398441314697266,99.19646453857422,100.99889373779297,179.9083251953125,131.92530822753906,4.527230262756348,15.428667068481445,204.22438049316406,169.91111755371094,53.91133499145508
2019-10-07 00:00:00+00:00,54.92831802368164,86.63300323486328,23.78932762145996,207.24000549316406,60.23606872558594,60.263275146484375,98.98011016845703,100.65349578857422,179.140625,130.9701385498047,4.585944175720215,15.847999572753906,205.5623321533203,168.86834716796875,53.16875076293945
2019-10-08 00:00:00+00:00,54.28483200073242,85.27549743652344,23.293861389160156,204.08999633789062,59.31084442138672,59.35951614379883,96.77326965332031,100.05609893798828,177.2164306640625,129.5851593017578,4.409302711486816,16.003332138061523,204.51243591308594,166.473876953125,52.136959075927734
2019-10-09 00:00:00+00:00,54.921051025390625,86.09950256347656,23.53685188293457,206.69000244140625,59.968231201171875,59.971500396728516,97.47425079345703,100.15877532958984,179.31011962890625,132.0399169921875,4.4958815574646,16.302000045776367,206.34280395507812,168.84902954101562,52.715389251708984
2019-10-10 00:00:00+00:00,55.66130447387695,86.01300048828125,23.64887046813965,206.86000061035156,60.28544616699219,60.324127197265625,98.8416519165039,99.8040771484375,179.4895782470703,132.86135864257812,4.553600311279297,16.31599998474121,207.87586975097656,168.84902954101562,53.34854507446289
2019-10-11 00:00:00+00:00,57.14179992675781,86.59600067138672,24.205520629882812,208.0800018310547,60.623619079589844,60.63535690307617,100.5119400024414,101.1482162475586,183.6370849609375,133.41534423828125,4.627242565155029,16.525999069213867,206.33351135253906,170.953857421875,53.919151306152344
2019-10-14 00:00:00+00:00,57.059539794921875,86.82150268554688,24.270145416259766,207.91000366210938,60.707908630371094,60.738101959228516,100.78022003173828,100.71885681152344,182.7298126220703,133.29119873046875,4.6406779289245605,17.130666732788086,204.95843505859375,171.2435302734375,54.07547378540039
2019-10-15 00:00:00+00:00,56.92650604248047,88.36900329589844,25.016359329223633,209.3800048828125,61.99824142456055,61.958580017089844,103.81790924072266,102.39904022216797,188.32298278808594,135.2205810546875,4.885486602783203,17.19266700744629,221.682861328125,172.58558654785156,54.26308059692383
2019-10-16 00:00:00+00:00,56.696678161621094,88.87149810791016,24.85781478881836,209.2899932861328,62.029666900634766,61.99648666381836,103.57559967041016,100.7655258178711,188.9810028076172,134.1125946044922,4.831748962402344,17.316667556762695,220.1962432861328,171.73594665527344,53.33290481567383
2019-10-17 00:00:00+00:00,56.91682434082031,89.3740005493164,24.939668655395508,208.6199951171875,62.5000114440918,62.48527526855469,104.15544128417969,101.24156188964844,189.8184814453125,133.4248809814453,4.833738327026367,17.46466636657715,226.40289306640625,171.80352783203125,53.26254653930664
2019-10-18 00:00:00+00:00,57.190189361572266,87.87550354003906,24.707014083862305,208.75999450683594,62.121944427490234,62.06681442260742,104.33716583251953,101.40959167480469,185.2921142578125,131.24716186523438,4.739197731018066,17.1299991607666,227.95452880859375,169.65045166015625,52.84827423095703
2019-10-21 00:00:00+00:00,58.18201446533203,89.28299713134766,24.951738357543945,211.49000549316406,62.15485763549805,62.06032943725586,106.92485046386719,100.72817993164062,189.19036865234375,132.22140502929688,4.876529693603516,16.899999618530273,226.63514709472656,170.34561157226562,53.73155212402344
2019-10-22 00:00:00+00:00,58.04896545410156,88.2864990234375,24.769922256469727,210.6199951171875,61.987770080566406,61.90671157836914,107.99797821044922,102.52973937988281,181.7926483154297,130.2537384033203,4.866579532623291,17.038667678833008,231.80120849609375,164.9677276611328,54.005123138427734
2019-10-23 00:00:00+00:00,58.82791519165039,88.1084976196289,24.15467643737793,210.9600067138672,62.80227279663086,62.72618103027344,108.28357696533203,100.25211334228516,185.59120178222656,131.0847930908203,4.853640556335449,16.978666305541992,230.24026489257812,165.4118194580078,54.52103042602539
2019-10-24 00:00:00+00:00,58.92466735839844,89.03900146484375,24.326154708862305,210.25999450683594,62.895042419433594,62.79999923706055,108.20567321777344,100.66283416748047,185.82052612304688,133.6636962890625,4.897678375244141,19.978666305541992,227.18333435058594,170.08493041992188,54.005123138427734
